country,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Azerbaijan,--,--,--,--,--,--,--,--,--,--,--,--,0.992519683,0.843913239,0.758993512,0.727964738,0.643095709,0.637950656,0.546682554,0.563641815,0.507594795,0.44619344,0.532377048,0.567715116,0.626104156,0.648467557,0.657035981,0.541695789,0.579043918,0.544010694,0.587321993,0.555522154,0.603245046,0.567599135,0.585457175,0.62646379,0.608790576
"Bahamas, The",0.06,0.063,0.054,0.041,0.037,0.033,0.032874443,0.036388625,0.0336895351,0.0385250064,0.0409864449,0.036709022,0.0307579096,0.0329561469,0.036161741,0.043238988,0.04861029,0.047757796,0.0538043945,0.047648953,0.05634806,0.057501026,0.059754686,0.04194969,0.045970253,0.044403432,0.05167975,0.05924776,0.057775414,0.04386956,0.045505092,0.039950406,0.0463512924,0.042954567,0.042354278,0.04064458,0.0426146865
Bahrain,0.1377,0.15764,0.16822,0.17758,0.171502,0.204708,0.220987772,0.265819139,0.228953512,0.234220486,0.256230168,0.28679094,0.24059811,0.287332136,0.283188325,0.283594943,0.284571672,0.33493822,0.351590348,0.360730678,0.381740311,0.395185594,0.421559964,0.44044414,0.456248106,0.511836403,0.546222563,0.560664475,0.587814735,0.582106538,0.587808014,0.581575083,0.625182573,0.695772386,0.679123507,0.696202198,0.69337783
Bangladesh,0.122841068,0.134596599,0.143682645,0.1367462,0.167876725,0.172956757,0.187402956,0.201606662,0.226100773,0.2456356,0.23886781,0.256659405,0.286654013,0.318039151,0.348262645,0.382707211,0.390357444,0.403542165,0.417071758,0.463486367,0.502977979,0.553376171,0.579817157,0.637516685,0.659433568,0.700505256,0.749207133,0.790251828,0.8534186,0.9028262,0.954177745,0.999259856,1.086119093,1.112481644,1.163838641,1.266580119,1.373454067
Barbados,0.0148376,0.0158376,0.0158376,0.0168376,0.0158376,0.0178376,0.01831779,0.017579752,0.0175613446,0.0177197985,0.0187722378,0.0189815451,0.0201023685,0.0195408423,0.0185323071,0.0194671507,0.0172690229,0.0207904496,0.0212339715,0.0222152231,0.0245339835,0.0237811599,0.0239412086,0.0243930191,0.0247536817,0.0251308476,0.0252424017,0.0239816196,0.0283971015,0.0262092499,0.0252978276,0.0267795695,0.0256046162,0.0263659845,0.0227395643,0.023505191,0.0255193541
Belarus,--,--,--,--,--,--,--,--,--,--,--,--,1.530895911,1.303183424,1.072056557,1.00882382,1.009477323,0.995288097,0.975920461,1.003806605,1.093173296,1.014331649,0.982912097,1.027312271,0.960695244,1.080847016,1.15444391,1.119209193,1.133309313,1.054925696,1.121974715,1.161305585,1.171888032,1.119946627,1.121458188,0.96006566,0.945313305
Belgium,2.134897839,2.009050161,1.880422114,1.843881657,1.884421741,1.956259028,2.033849596,2.098248702,2.15079323,2.165547884,2.216626002,2.299684962,2.303344335,2.269170587,2.420272105,2.450367865,2.592079004,2.608649922,2.674279746,2.645192119,2.703257184,2.68585878,2.686602721,2.778417942,2.810225913,2.791035121,2.782606526,2.8080758,2.879473089,2.633440391,2.830047712,2.646151176,2.576453572,2.649931899,2.480995818,2.536847512,2.682610218
Belize,0.00341552013,0.0034181201,0.00341816019,0.00342080073,0.0034176,0.00341788,0.00383066632,0.0033341181,0.00275454914,0.00401704847,0.00536468483,0.00566325213,0.0048744207,0.00485171705,0.00442677205,0.00510695605,0.00473022057,0.0079790517,0.00775953064,0.00724834288,0.00858097111,0.00974471046,0.0090884131,0.00902725982,0.00818288436,0.00932251613,0.00998609017,0.00979093224,0.0094822799,0.0095602902,0.0104223643,0.00933913682,0.00936005308,0.0110675541,0.0106055231,0.0117618285,0.0111953106
Benin,0.006399204,0.006464032,0.004566392,0.006620984,0.00654592,0.007569804,0.00743912989,0.0063081026,0.00715614974,0.00755400192,0.008803345,0.0097004636,0.0108463688,0.012096536,0.013242452,0.014265035,0.0157742744,0.0162858616,0.0179290469,0.0085420962,0.0235645417,0.0268653602,0.0305791149,0.0351342392,0.0378042213,0.0351665412,0.0478935333,0.0562571028,0.0575406962,0.0646305183,0.0740376881,0.0690233996,0.0657273593,0.0663603123,0.0713369235,0.0781961477,0.0784143456
Bermuda,0.008,0.007,0.007,0.008,0.008,0.007,0.00689895778,0.00994715454,0.0108560623,0.0132368265,0.00962113492,0.008314113,0.00674568941,0.00780994654,0.00727230154,0.00763872942,0.0075521882,0.00753197721,0.00753197721,0.007531992,0.0084635606,0.00869895832,0.00878665823,0.00876668643,0.00915502612,0.00955881446,0.0107958714,0.0125390865,0.011995108,0.00987685416,0.0112264039,0.00736441998,0.00776743773,0.00780224065,0.0102092317,0.00899445028,0.0108150295
Bhutan,0.000190904454,0.000782497369,0.00101870479,0.000934341841,0.000830529827,0.00107687507,0.00314449755,0.0101948587,0.0126868676,0.012801484,0.0130310254,0.0132401594,0.0134539195,0.0130413387,0.0141392349,0.0146181603,0.0163679541,0.0166224166,0.0160951585,0.0161297277,0.0168343895,0.0189375624,0.0212516788,0.0224044917,0.0207487988,0.0245299051,0.0371752109,0.0499545039,0.054063611,0.0537772961,0.0582204892,0.0571809174,0.0552217925,0.0614763261,0.0581672029,0.0613860323,0.0615805606
