country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Costa Rica,0.6516,0.6516,0.6538,0.6624,0.6624,0.6624,0.683,0.683,0.683,0.7054,0.7054,0.7054,0.7054,0.7054,0.7054,0.7054,0.7054,0.7054,0.7054,0.7054,0.7054,0.7054,0.7054,0.7054,0.7054,0.7054
Cote d'Ivoire,0.0021,0.0021,0.0021,0.0021,0.0021,0.0021,0.0021,0.0021,0.0021,0.0021,0.0021,0.0021,0.0021,0.0021,0.0021,0.0021,0.139,0.139,0.139,0.139,0.139,0.139,0.139,0.139,0.139,0.139
Croatia,0.7427,0.7427,0.7427,0.7427,0.7556,0.7608,0.7608,0.7608,0.7608,0.7608,0.7608,0.761,0.761,0.761,0.761,0.761,0.761,1.0115,1.0115,1.0115,1.0115,1.0115,1.0115,1.0115,9.0597,9.0597
Cuba,0.1772,0.1772,0.1772,0.1772,0.1772,0.1772,0.1772,0.1772,0.1772,0.1772,0.1801,1.2012,1.6088,2.0998,2.0998,2.0998,2.1053,2.1053,2.1053,2.1053,2.1053,2.6683,2.6683,2.6683,2.6683,2.6683
Denmark,10.6922,10.6922,10.6922,10.6922,10.6922,10.6922,10.6922,10.6922,12.3029,15.4747,15.4747,15.4747,15.4747,16.0622,16.0622,16.0622,16.155,16.155,16.155,16.155,17.6681,17.6681,17.6681,17.6681,17.6681,17.6681
Dominica,0.0173,0.0173,0.0173,0.0173,0.0173,0.0173,0.0173,0.0173,0.0173,0.0173,0.0173,0.0173,0.0173,0.0173,0.0173,0.0173,0.0173,0.0173,0.0173,0.0173,0.0173,0.0173,0.0173,0.0173,0.0173,0.0173
Dominican Republic,0.5519,0.5519,0.5519,0.5519,0.5519,0.5519,0.571,0.5782,0.5782,0.5782,0.5782,8.9303,8.9303,9.1504,9.1504,9.1504,9.2323,9.2323,9.2323,9.2323,9.2323,9.2323,9.2323,9.2323,9.2323,9.2323
Ecuador,12.8741,12.881,12.881,12.881,12.881,12.881,12.8982,12.9001,12.9001,12.9001,12.9001,12.9008,12.9008,12.9009,12.9177,12.9177,12.9177,12.9177,12.9177,12.9589,12.9589,12.9589,12.9589,12.9589,12.9589,12.9589
Egypt,0.3959,0.3959,0.3959,0.3959,0.3959,0.3959,1.3773,1.5114,1.5114,1.67,1.67,1.67,1.67,1.67,2.5311,2.5311,2.5311,3.2225,3.2225,3.2225,3.2225,3.3607,3.3607,3.3607,3.3607,3.3607
Fiji,0.0212,0.0212,0.0212,0.0212,0.0212,0.0212,0.0212,0.0212,0.0274,0.0274,0.028,0.0518,0.1729,0.1857,0.513,0.802,0.8215,0.8888,0.9165,0.9165,0.9165,0.9165,0.9165,0.9165,0.9165,0.9165
France,0.465,0.465,0.5024,0.5024,0.5079,0.6052,4.2343,4.6742,4.6742,4.6756,4.8772,4.8772,4.8829,4.8829,4.8829,5.0382,5.1046,6.2587,7.0251,9.7931,9.7931,9.7931,10.5834,11.3628,11.3628,11.3628
French Polynesia,0.0016,0.0016,0.0016,0.0041,0.0041,0.0041,0.0041,0.0041,0.0041,0.0041,0.0041,0.0041,0.0041,0.0041,0.0041,0.0041,0.0041,0.0041,0.0041,0.0041,0.0041,0.0041,0.0041,0.0041,0.0041,0.0041
Gabon,0.0427,0.0427,0.0427,0.0427,0.0427,0.0427,0.0427,0.0427,0.0427,0.0427,0.0427,0.0427,0.0427,0.1707,0.7225,0.7225,0.7225,0.7225,0.8894,0.8894,0.8894,0.8894,0.8894,0.8894,0.8894,0.8894
Greece,0.0798,0.0974,0.0974,0.5358,0.5358,0.5358,0.5358,0.5358,0.5358,0.5358,0.5358,0.5364,0.5375,0.5375,0.5379,0.5379,0.5379,0.5423,0.5423,0.6122,0.6257,0.6257,0.6257,0.6257,0.6257,0.6257
Greenland,4.5006,4.5006,4.5006,4.5006,4.5006,4.5006,4.5006,4.5006,4.5006,4.5006,4.5006,4.5006,4.5006,4.5006,4.5173,4.5173,4.5173,4.5173,4.5173,4.5178,4.5178,4.5178,4.5241,4.5241,4.5241,4.5241
Guatemala,0.0157,0.0157,0.0157,0.0157,0.0157,0.0157,0.0173,0.0173,0.0173,0.0173,0.0173,0.7751,0.7751,0.7751,0.7751,0.7751,0.7846,0.7846,0.7846,0.7846,0.7846,0.7846,0.7846,0.7846,0.7846,0.7846
Honduras,0.221,0.221,0.221,0.2239,0.2239,0.3528,0.3528,0.3528,0.3528,0.3528,0.3528,0.3839,0.3839,0.3839,0.3839,0.3839,0.6304,0.6304,0.6304,0.6304,0.6304,0.6322,0.6322,0.6322,0.6322,0.6322
India,0.1153,0.1153,0.1153,0.1158,0.1158,0.1158,0.1158,0.1225,0.1225,0.1263,0.1263,0.1263,0.5305,0.5582,0.5582,0.5582,0.5582,0.5582,0.5582,0.5582,0.5582,0.5582,0.5582,0.5582,0.5582,0.5582
Indonesia,0.1384,0.1401,0.1677,0.168,0.1787,0.1787,0.1787,0.223,0.2525,0.2534,0.2742,0.2818,0.3974,0.9637,0.9892,1.0172,1.1077,1.1946,1.5297,1.638,2.3271,2.3696,2.6348,2.6912,2.808,2.808
Iran,0.4424,0.4424,0.4424,0.4424,0.4424,0.4424,0.4424,0.4424,0.4424,0.4424,0.5538,0.5538,0.6431,0.6431,0.6439,0.6439,0.6439,0.6439,0.6439,0.6439,0.6439,0.6439,0.6439,0.6439,0.6439,0.6439
Ireland,0.0339,0.0435,0.0435,0.0435,0.0435,0.1526,0.2506,0.3174,0.3225,0.3886,0.4679,0.4714,0.8295,0.8306,0.8306,0.8368,0.8375,1.4387,1.4427,1.4431,1.4481,1.4693,1.4782,1.4782,1.4783,1.4783
Israel,0.0192,0.0192,0.0192,0.0192,0.0192,0.0192,0.0192,0.0192,0.0192,0.0192,0.0192,0.0192,0.0192,0.0192,0.024,0.024,0.0267,0.0267,0.0267,0.0314,0.0314,0.0314,0.0314,0.0314,0.0314,0.0314
Italy,0.1596,0.1596,0.2896,0.2896,0.2896,0.3162,0.6477,0.6788,0.7595,0.8798,0.8798,0.8923,5.1776,5.1965,5.2251,5.2296,5.3651,5.3651,5.378,5.378,5.4022,5.4084,5.4095,5.4095,5.413,5.413
Japan,0.4714,0.4727,0.4727,0.4727,0.4741,0.4741,0.4746,0.4746,0.4749,0.4749,0.475,0.475,0.475,0.4751,0.4754,0.4754,0.4767,0.4767,0.4767,0.4767,0.4768,0.4769,0.4769,0.4875,0.4875,0.4875
Kenya,1.0369,1.0369,1.0369,1.0369,1.0369,1.0369,1.1283,1.1283,1.1283,1.1283,1.1283,1.1283,1.1283,1.1283,1.1283,1.1312,1.1314,1.1314,1.1314,1.1314,1.1336,1.1336,1.1411,1.2306,1.2306,1.2306
Madagascar,0.0017,0.0017,0.0017,0.0017,0.0017,0.0017,0.0017,0.0017,0.0124,0.0124,0.0124,0.0124,0.1269,0.1269,0.1269,0.1269,0.1269,0.2188,0.2188,0.2685,0.3132,0.3418,0.4712,0.4714,0.4714,0.4714
Malaysia,0.3739,0.3739,0.3739,0.3748,0.3748,0.4715,0.4715,0.4839,0.4839,0.4839,0.5303,0.5315,0.5315,0.5315,0.5353,0.5353,0.5796,0.5796,0.5796,0.6475,0.6475,0.6475,0.6475,0.6475,0.6475,0.6475
Mauritania,4.1358,4.1358,4.1358,4.1358,4.1358,4.136,4.136,4.136,4.136,4.136,4.136,4.1442,4.1442,4.1442,4.1442,4.1442,4.1442,4.1442,4.1442,4.1442,4.1442,4.1442,4.1442,4.1442,4.1442,4.1442
Mexico,0.1589,0.1589,0.1589,0.1788,0.3457,0.7577,0.7681,0.9301,0.9301,0.9455,0.946,1.2014,1.2014,1.2106,1.251,1.3451,1.5205,1.5208,1.6447,1.6744,1.7874,1.8432,1.8433,1.8485,1.8485,1.8485
Monaco,0.0522,0.0522,0.0522,0.0522,0.0522,0.0522,0.0522,0.0522,0.1341,0.1341,0.1341,0.1341,0.1341,0.1341,0.1341,0.1341,0.1341,0.1341,0.1341,0.1341,0.1341,0.1341,0.1341,0.1341,0.1341,0.1341
Morocco,0.0035,0.0035,0.0442,0.0442,0.0442,0.0442,0.0442,0.0442,0.0442,0.0442,0.0442,0.0442,0.0442,0.0442,0.0458,0.1101,0.1238,0.1615,0.1615,0.1615,0.1615,0.1615,0.1615,0.1615,0.1615,0.1615
Mozambique,0.2154,0.2154,0.2154,0.2154,0.2154,0.2154,0.2154,0.2154,0.2154,0.2154,0.2154,0.2154,0.2154,0.2568,0.2568,0.2994,0.2994,0.2994,0.2994,0.2994,0.2994,0.2994,0.2994,2.244,2.244,2.244
Namibia,0.0288,0.0288,0.0288,0.0288,0.0288,0.0288,0.0318,0.0318,0.0318,0.0318,0.0318,0.0318,0.0318,0.0318,0.0318,0.0318,0.0318,0.0318,0.0318,0.0318,1.6989,1.6989,1.6989,1.6989,1.6989,1.6989
Nicaragua,0.0054,0.0506,2.3413,2.3472,2.3472,2.3472,2.3472,2.3472,2.3472,2.3472,2.7753,2.7753,2.8658,2.8658,2.8658,2.8658,2.9149,2.9149,2.9149,2.9149,2.9149,2.9149,2.9149,2.9149,2.9149,2.9149
Norway,0.0989,0.0992,0.1028,0.1032,0.1093,0.1097,0.1128,0.113,0.1138,0.1138,0.1142,0.1161,0.1161,0.1623,0.1661,0.1839,0.1902,0.1913,0.1914,0.1915,0.2215,0.2276,0.2276,0.2276,0.2499,0.2499
Pakistan,0.2547,0.2547,0.2547,0.2547,0.2547,0.2547,0.2547,0.2547,0.2547,0.2547,0.2547,0.2547,0.4692,0.7661,0.7661,0.7661,0.7661,0.7661,0.7661,0.7661,0.7661,0.7661,0.7661,0.7661,0.7661,0.7661
Panama,0.0754,0.2252,0.2252,0.2252,0.25,0.4314,0.4314,0.4314,0.4314,0.4314,0.4314,0.4314,0.4314,0.4314,0.5149,0.5149,1.1174,1.1174,1.1174,1.1174,1.1174,1.1235,1.1235,1.1235,1.1235,1.1235
Papua New Guinea,0.1665,0.1665,0.1665,0.1665,0.1694,0.1694,0.1694,0.1694,0.1694,0.1694,0.1694,0.1694,0.1694,0.1695,0.1695,0.1695,0.1827,0.1828,0.1828,0.1828,0.1828,0.1828,0.1828,0.1828,0.1828,0.1828
